color,director_name,duration,gross,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,genres_1,genres_2,genres_3,genres_4,genres_5
COLOR,SAM MENDES,148,0.32100231102240867,SPECTRE,2015,ENGLISH,UK,0.98,6.8,"CHRISTOPH WALTZ,RORY KINNEAR,STEPHANIE SIGMAN",85000,ACTION,ADVENTURE,THRILLER,-,-
COLOR,MICHAEL PATRICK KING,146,0.15294732108384104,SEX AND THE CITY 2,2010,ENGLISH,USA,0.4,4.3,"CHRIS NOTH,LIZA MINNELLI,KRISTIN DAVIS",0,COMEDY,DRAMA,ROMANCE,-,-
COLOR,TATE TAYLOR,146,0.272278446833103,THE HELP,2011,ENGLISH,USA,0.1,8.1,"EMMA STONE,BRYCE DALLAS HOWARD,MIKE VOGEL",75000,DRAMA,-,-,-,-
COLOR,FRANCIS LAWRENCE,146,0.6813083776676535,THE HUNGER GAMES: CATCHING FIRE,2013,ENGLISH,USA,0.52,7.6,"JENNIFER LAWRENCE,JOSH HUTCHERSON,SANDRA ELLIS LAFFERTY",82000,ADVENTURE,SCI-FI,THRILLER,-,-
 BLACK AND WHITE,STEVEN SPIELBERG,146,0.12816618062392476,WAR HORSE,2011,ENGLISH,USA,0.264,7.2,"JEREMY IRVINE,BENEDICT CUMBERBATCH,EDDIE MARSAN",28000,DRAMA,WAR,-,-,-
COLOR,MICHAEL BAY,144,0.08474915991427519,13 HOURS,2016,ENGLISH,USA,0.2,7.4,"TOBY STEPHENS,JAMES BADGE DALE,DAVID COSTABILE",44000,ACTION,DRAMA,THRILLER,WAR,-
COLOR,GUILLAUME CANET,144,6.614848858501048e-05,BLOOD TIES,2013,ENGLISH,FRANCE,0.102,6.5,"MILA KUNIS,LILI TAYLOR,BILLY CRUDUP",0,CRIME,DRAMA,THRILLER,-,-
COLOR,PAUL THOMAS ANDERSON,144,0.02627596891126607,THE MASTER,2012,ENGLISH,USA,0.128,7.1,"MIKE HOWARD,JEFFREY W. JENKINS,BRUCE GOODCHILD",27000,DRAMA,-,-,-,-
COLOR,BRYAN SINGER,144,0.2486606334925988,X-MEN: APOCALYPSE,2016,ENGLISH,USA,0.712,7.3,"JENNIFER LAWRENCE,MICHAEL FASSBENDER,TYE SHERIDAN",54000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR,ADAM MCKAY,143,0.0034901065027246915,ANCHORMAN 2: THE LEGEND CONTINUES,2013,ENGLISH,USA,0.2,6.3,"HARRISON FORD,WILL FERRELL,STEVE CARELL",41000,COMEDY,-,-,-,-
COLOR,ZACK SNYDER,143,0.46691980572884095,MAN OF STEEL,2013,ENGLISH,USA,0.9,7.2,"HENRY CAVILL,CHRISTOPHER MELONI,HARRY LENNIX",118000,ACTION,ADVENTURE,FANTASY,SCI-FI,-
COLOR,SAM MENDES,143,0.4883206555789645,SKYFALL,2012,ENGLISH,UK,0.8,7.8,"ALBERT FINNEY,HELEN MCCRORY,RORY KINNEAR",80000,ACTION,ADVENTURE,THRILLER,-,-
COLOR,BAZ LUHRMANN,143,0.23234004179508236,THE GREAT GATSBY,2013,ENGLISH,AUSTRALIA,0.42,7.3,"LEONARDO DICAPRIO,ELIZABETH DEBICKI,STEVE BISLEY",115000,DRAMA,ROMANCE,-,-,-
COLOR,STEVEN SPIELBERG,142,0.11600904497512735,BRIDGE OF SPIES,2015,ENGLISH,USA,0.16,7.6,"TOM HANKS,MARK RYLANCE,AMY RYAN",55000,DRAMA,HISTORY,THRILLER,-,-
COLOR,MARC WEBB,142,0.3254622006712503,THE AMAZING SPIDER-MAN 2,2014,ENGLISH,USA,0.8,6.7,"EMMA STONE,ANDREW GARFIELD,B.J. NOVAK",41000,ACTION,ADVENTURE,FANTASY,SCI-FI,-
COLOR,JOSS WHEDON,141,0.7364137026623786,AVENGERS: AGE OF ULTRON,2015,ENGLISH,USA,1.0,7.5,"CHRIS HEMSWORTH,ROBERT DOWNEY JR.,SCARLETT JOHANSSON",118000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR,JUSTIN CHADWICK,141,0.013356363192196968,MANDELA: LONG WALK TO FREEDOM,2013,ENGLISH,UK,0.14,7.1,"TERRY PHETO,FANA MOKOENA,TONY KGOROGE",13000,BIOGRAPHY,DRAMA,HISTORY,-,-
COLOR,OLIVER STONE,141,0.07590101460524903,SAVAGES,2012,ENGLISH,USA,0.18,6.5,"DEMIÁN BICHIR,SHEA WHIGHAM,GARY STRETCH",28000,CRIME,DRAMA,THRILLER,-,-
COLOR,DAVID DOBKIN,141,0.07557617641510704,THE JUDGE,2014,ENGLISH,USA,0.2,7.4,"ROBERT DOWNEY JR.,ROBERT DUVALL,LEIGHTON MEESTER",47000,CRIME,DRAMA,-,-,-
COLOR,RYAN MURPHY,140,0.12927427249590143,EAT PRAY LOVE,2010,ENGLISH,USA,0.24,5.7,"JAMES FRANCO,JULIA ROBERTS,BILLY CRUDUP",26000,DRAMA,ROMANCE,-,-,-
COLOR,JAMES WAN,140,0.5616005076450872,FURIOUS 7,2015,ENGLISH,USA,0.76,7.2,"JASON STATHAM,PAUL WALKER,VIN DIESEL",94000,ACTION,CRIME,THRILLER,-,-
COLOR,DEREK CIANFRANCE,140,0.03430771650204655,THE PLACE BEYOND THE PINES,2012,ENGLISH,USA,0.06,7.3,"RYAN GOSLING,BEN MENDELSOHN,ANGELO ANTHONY PIZZA",47000,CRIME,DRAMA,THRILLER,-,-
COLOR,GAVIN O'CONNOR,140,0.0219029519991613,WARRIOR,2011,ENGLISH,USA,0.1,8.2,"TOM HARDY,FRANK GRILLO,KEVIN DUNN",77000,DRAMA,SPORT,-,-,-
COLOR,GARY ROSS,139,0.032713999838663084,FREE STATE OF JONES,2016,ENGLISH,USA,0.2,6.7,"MATTHEW MCCONAUGHEY,DONALD WATKINS,JESSICA COLLINS",10000,ACTION,BIOGRAPHY,DRAMA,HISTORY,WAR
COLOR,TATE TAYLOR,139,0.04895706933890452,GET ON UP,2014,ENGLISH,USA,0.12,6.9,"TIKA SUMPTER,JOSH HOPKINS,AUNJANUE ELLIS",11000,BIOGRAPHY,DRAMA,MUSIC,-,-
COLOR,TERRENCE MALICK,139,0.021344064736332508,THE TREE OF LIFE,2011,ENGLISH,USA,0.128,6.7,"BRAD PITT,TYE SHERIDAN,FIONA SHAW",39000,DRAMA,FANTASY,-,-,-
COLOR,ROBERT ZEMECKIS,138,0.15041276976155935,FLIGHT,2012,ENGLISH,USA,0.124,7.3,"DENZEL WASHINGTON,BRUCE GREENWOOD,NADINE VELAZQUEZ",64000,DRAMA,THRILLER,-,-,-
COLOR,DARREN ARONOFSKY,138,0.16230362360984069,NOAH,2014,ENGLISH,USA,0.5,5.8,"ANTHONY HOPKINS,EMMA WATSON,LOGAN LERMAN",71000,ACTION,ADVENTURE,DRAMA,-,-
COLOR,MARTIN SCORSESE,138,0.20531462265358116,SHUTTER ISLAND,2010,ENGLISH,USA,0.32,8.1,"LEONARDO DICAPRIO,JOSEPH SIKORA,NELLIE SCIUTTO",53000,MYSTERY,THRILLER,-,-,-
COLOR,RIDLEY SCOTT,138,0.02722596960172672,THE COUNSELOR,2013,ENGLISH,USA,0.1,5.3,"MICHAEL FASSBENDER,BRAD PITT,GORAN VISNJIC",24000,CRIME,DRAMA,THRILLER,-,-
COLOR,JAMES MANGOLD,138,0.21266694958626647,THE WOLVERINE,2013,ENGLISH,USA,0.48,6.7,"HUGH JACKMAN,TAO OKAMOTO,RILA FUKUSHIMA",68000,ACTION,ADVENTURE,SCI-FI,THRILLER,-
COLOR,DANIEL ESPINOSA,137,0.0019351429158961317,CHILD 44,205,ENGLISH,CZECH REPUBLIC,0.2,6.4,"TOM HARDY,FARES FARES,MICHAEL NARDONE",18000,CRIME,DRAMA,THRILLER,-,-
COLOR,WALTER SALLES,137,0.0011515747684240952,ON THE ROAD,2012,ENGLISH,FRANCE,0.1,6.1,"KRISTEN STEWART,VIGGO MORTENSEN,KIRSTEN DUNST",27000,ADVENTURE,DRAMA,-,-,-
COLOR,ANGELINA JOLIE PITT,137,0.18547693495868878,UNBROKEN,2014,ENGLISH,USA,0.26,1.2,"FINN WITTROCK,JACK O'CONNELL,ALEX RUSSELL",35000,BIOGRAPHY,DRAMA,SPORT,WAR,-
COLOR,SETH MACFARLANE,136,0.06837330890307555,A MILLION WAYS TO DIE IN THE WEST,2014,ENGLISH,USA,0.16,6.1,"LIAM NEESON,CHARLIZE THERON,SETH MACFARLANE",24000,COMEDY,WESTERN,-,-,-
COLOR,ANTHONY RUSSO,136,0.41674230969109594,CAPTAIN AMERICA: THE WINTER SOLDIER,2014,ENGLISH,USA,0.68,7.8,"SCARLETT JOHANSSON,CHRIS EVANS,HAYLEY ATWELL",55000,ACTION,ADVENTURE,SCI-FI,-,-
COLOR,ROB MARSHALL,136,0.3867668627348685,PIRATES OF THE CARIBBEAN: ON STRANGER TIDES,2011,ENGLISH,USA,1.0,6.7,"JOHNNY DEPP,SAM CLAFLIN,STEPHEN GRAHAM",58000,ACTION,ADVENTURE,FANTASY,-,-
COLOR,ADAM SHANKMAN,136,0.06178502436884874,ROCK OF AGES,2012,ENGLISH,USA,0.3,5.9,"JAMES MARTIN KELLY,SHANE HARTLINE,CELINA BEACH",33000,COMEDY,DRAMA,MUSICAL,ROMANCE,-
COLOR,TONY GILROY,135,0.18156481396621219,THE BOURNE LEGACY,2012,ENGLISH,USA,0.5,6.7,"JEREMY RENNER,SCOTT GLENN,STACY KEACH",31000,ACTION,ADVENTURE,THRILLER,-,-
COLOR,STEVE MCQUEEN,134,0.09091886661892983,12 YEARS A SLAVE,2013,ENGLISH,USA,0.08,8.1,"QUVENZHANÉ WALLIS,SCOOT MCNAIRY,TARAN KILLAM",83000,BIOGRAPHY,DRAMA,HISTORY,-,-
COLOR,PAUL GREENGRASS,134,0.17183438076141458,CAPTAIN PHILLIPS,2013,ENGLISH,USA,0.22,7.9,"TOM HANKS,CHRIS MULKEY,MICHAEL CHERNUS",65000,BIOGRAPHY,DRAMA,THRILLER,-,-
COLOR,DAVID AYER,134,0.13750991254651262,FURY,2014,ENGLISH,USA,0.272,7.6,"BRAD PITT,LOGAN LERMAN,JIM PARRACK",82000,ACTION,DRAMA,WAR,-,-
COLOR,CLINT EASTWOOD,5,0.07546256286827907,JERSEY BOYS,2014,ENGLISH,USA,0.16,6.9,"JOHNNY CANNIZZARO,STEVE SCHIRRIPA,SCOTT VANCE",16000,BIOGRAPHY,DRAMA,MUSIC,MUSICAL,-
